Actual test,Predicted_value
38,113.8749985
111,111.3206443
49,101.0234042
32,111.0811736
346,102.0211988
20,128.163417
116,122.5757673
2,108.1676134
13,114.6732342
45,127.2055342
3,129.3607705
87,106.5711421
8,116.1499701
58,115.5113816
64,125.3695921
9,113.3162335
199,107.2097306
3,120.1012367
59,110.3228497
19,113.5557042
87,128.2831523
119,112.5978214
16,111.1210854
200,115.631117
2,115.0324402
15,108.6864666
45,100.2650803
79,129.5204176
12,111.200909
47,112.5179978
114,128.3230641
214,109.3649669
165,125.8485335
19,125.76871
196,115.3118227
17,129.6800648
12,130.6379476
161,119.8218542
1,105.3737886
30,113.2364099
28,115.7109405
122,112.3184389
45,120.779737
169,118.6644125
170,106.5312303
152,120.0613249
137,119.8218542
32,102.1409341
37,126.686681
124,117.6267061
152,100.504551
76,104.6154647
95,122.0968259
158,115.5113816
181,101.9413752
8,113.1166746
61,114.7131459
5,110.2430262
4,112.5978214
88,118.3052065
38,109.0855845
132,120.0613249
57,108.4070841
467,114.9925284
99,124.0125915
4,115.7109405
32,115.3916463
179,107.329466
24,118.1056475
54,115.5512934
15,115.990323
110,126.9660635
9,110.2430262
56,115.3916463
50,131.6357422
30,113.0767628
10,111.1609972
16,114.4736752
138,111.0013501
57,106.1321125
8,118.3451182
5,113.1565864
121,118.1854711
0,108.1676134
58,106.770701
5,114.9925284
9,111.8794093
150,110.4824969
8,110.6022322
38,115.5512934
45,123.374003
801,130.3984769
58,111.5202033
144,108.3671724
142,110.5224087
200,118.1455593
53,110.1632026
2,107.4092895
87,123.733209
9,111.0811736
107,112.3184389
4,108.6465548
909,131.5559186
52,124.5314447
122,81.02760062
67,121.3784138
11,108.5268195
214,130.1590062
17,115.072352
169,109.7640848
181,108.2075252
26,119.50256
27,109.2851434
35,115.7508523
25,116.1499701
41,121.2985902
213,114.7929695
63,120.0214132
25,116.6289115
72,112.9570275
24,109.3649669
214,99.06772678
203,107.1698188
27,110.2430262
100,115.2319991
6,108.7263784
15,109.2053198
5,126.9660635
124,110.1632026
113,110.4026733
24,133.6313313
195,96.71293155
132,108.2873488
8,110.5224087
121,113.7153513
202,117.2275883
9,103.9369644
19,107.8882309
593,111.200909
63,125.8086218
236,115.6710287
808,130.4783004
85,113.8749985
74,110.2430262
53,124.8906507
167,127.8441227
40,123.8130326
28,123.1345323
0,120.0613249
210,110.1232908
11,122.8950616
227,102.2207577
269,112.5579096
55,121.0990313
54,106.8505246
22,124.5713565
30,113.7153513
122,100.863757
92,106.3316714
59,133.1124782
27,104.8549354
279,111.9991447
88,103.7773172
185,115.0324402
81,112.4780861
4,113.3162335
85,121.8174434
38,116.4293526
18,124.7709154
322,110.3228497
4,131.6756539
52,117.5069708
82,113.3561453
49,102.6198755
215,130.1590062
307,112.8372921
2,114.154381
16,107.8882309
15,115.0324402
96,103.2185523
118,120.3806192
1200,85.77710286
76,119.0635303
42,124.6112683
55,131.5559186
22,122.2963848
85,120.3806192
24,122.815238
62,109.7640848
4,113.036851
145,108.2873488
95,113.3960571
20,108.6864666
73,102.2207577
8,127.0458871
121,103.1786405
11,106.3316714
250,114.8328813
745,131.1967125
2,113.036851
18,113.954822
30,125.4095039
43,111.4403797
25,110.6820558
17,132.593625
62,106.3316714
51,109.4048787
162,111.1609972
40,112.9171157
7,109.8039966
149,120.0613249
74,119.303001
41,117.5069708
9,127.5647402
170,110.6022322
2,110.2430262
83,99.54666819
49,110.282938
51,112.0390564
7,107.4492013
45,112.3583507
23,111.0811736
10,131.0769772
26,111.9592329
78,104.0566997
16,115.631117
120,105.2540532
202,119.2630893
147,110.2430262
180,116.3096173
13,104.0566997
53,114.4736752
8,114.1144692
4,113.1166746
58,126.2077396
86,105.8926418
173,128.0037699
168,126.8862399
3,121.4981491
145,108.7263784
56,110.1632026
42,120.0214132
24,110.282938
81,113.4359689
539,80.54865921
18,107.8882309
3,113.9947338
50,107.4092895
4,135.2677145
98,132.0747718
2,129.7998001
27,136.7843622
196,98.38922646
